,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
recycling(0),0.12028908729553223,"(0.0, 1.0)",3,0.10470819473266602,"(0.0, 0.0)",3
recycling(1),1.3265118598937988,"(3.9999999999999996, -0.33333333333333326)",3,1.1617529392242432,"(3.9999999999999996, -0.33333333333333326)",3
recycling(2),4.324722766876221,"(5.089499999999998, -0.75)",3,4.088166952133179,"(5.451167512690356, 2.3677664974619286)",3
