,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
2generals(0),0.0023550987243652344,"(0.0, 0.0)",3,0.10618090629577637,"(0.0, 0.0)",3
2generals(1),0.009174108505249023,"(-1.0, -1.0)",3,0.2800278663635254,"(-1.0, -1.0)",3
2generals(2),0.01530313491821289,"(0.32125000000000004, 0.32125000000000004)",3,0.5411131381988525,"(0.32125000000000004, 0.32125000000000004)",3
