,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
recycling(0),0.0047321319580078125,"(0.0, 0.0)",3,0.10739302635192871,"(0.0, 0.0)",3
recycling(1),0.16795086860656738,"(5.0, 5.0)",3,1.0664258003234863,"(5.0, 5.0)",3
recycling(2),0.6743028163909912,"(6.7, 6.7)",3,3.7455132007598877,"(6.7, 6.7)",3
