,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
broadcastChannel(0),0.49936413764953613,"(1.9999999999999996, 0.0)",3,0.39610910415649414,"(1.0999999999999999, 0.9000000000000001)",3
broadcastChannel(1),0.4954960346221924,"(1.9999999999999996, 0.0)",3,0.41602587699890137,"(1.0999999999999999, 0.9000000000000001)",3
broadcastChannel(2),0.4504120349884033,"(1.9999999999999996, 0.0)",3,0.40447187423706055,"(1.0999999999999999, 0.9000000000000001)",3
