,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
relay4(0),0.005308866500854492,"(0.0, 0.0)",3,0.09222912788391113,"(0.0, 0.0)",3
relay4(1),0.027661800384521484,"(-1.0, -1.0)",3,0.4622018337249756,"(-1.0, -1.0)",3
relay4(2),0.17145991325378418,"(-1.0, -1.0)",3,1.5647602081298828,"(-1.0, -1.0)",3
