,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
2generals(0),0.07037591934204102,"(0.0, -12.5)",3,0.07160615921020508,"(0.0, 0.0)",3
2generals(1),0.283519983291626,"(-5.5, 1.5)",3,0.2887849807739258,"(-5.5, 1.5)",3
2generals(2),0.5899732112884521,"(-5.9605434782608695, 1.5)",3,0.5770421028137207,"(-5.9605434782608695, 1.382608695652174)",3
