,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
recycling(0),0.16196370124816895,"(0.0, 0.0)",3,0.10037422180175781,"(0.0, 0.0)",3
recycling(1),1.6298060417175293,"(2.0, -2.0)",3,1.086940050125122,"(2.0, -2.0)",3
recycling(2),5.222727298736572,"(2.493849677638276, -2.493849677638276)",3,3.7172458171844482,"(2.398244213886672, -2.398244213886672)",3
