,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
dectiger(0),0.7925519943237305,"(-75.0, 75.0)",3,0.6690850257873535,"(-75.0, 75.0)",3
dectiger(1),0.8104991912841797,"(-75.0, 75.0)",3,0.629492998123169,"(-75.0, 75.0)",3
dectiger(2),0.7907359600067139,"(-75.0, 75.0)",3,0.6659390926361084,"(-75.0, 75.0)",3
dectiger(3),0.8026719093322754,"(-75.0, 75.0)",3,0.6941039562225342,"(-75.0, 75.0)",3
dectiger(4),0.8175029754638672,"(-75.0, 75.0)",3,0.6482181549072266,"(-75.0, 75.0)",3
