,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
broadcastChannel(0),0.8661718368530273,"(0.620162932790224, -0.620162932790224)",3,0.6790828704833984,"(0.620162932790224, -0.620162932790224)",3
broadcastChannel(1),0.844696044921875,"(0.620162932790224, -0.620162932790224)",3,0.6492948532104492,"(0.620162932790224, -0.620162932790224)",3
broadcastChannel(2),0.8713829517364502,"(0.620162932790224, -0.620162932790224)",3,0.6123511791229248,"(0.620162932790224, -0.620162932790224)",3
