,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
2generals(0),0.12094807624816895,"(0.0, 0.0)",3,0.07485508918762207,"(0.0, 0.0)",3
2generals(1),0.46756982803344727,"(-9.0625, 9.0625)",3,0.3506770133972168,"(-9.0625, 9.0625)",3
2generals(2),0.8747930526733398,"(-9.319146517092399, 9.319146517092399)",3,0.7346532344818115,"(-9.319146517092399, 9.319146517092399)",3
