,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
dectiger(0),0.6986901760101318,"(5.148325883907317, -13.499999999999998)",3,0.6138238906860352,"(5.317470953125, -18.495219734375)",3
dectiger(1),0.6483731269836426,"(5.148325883907317, -13.499999999999998)",3,0.6060068607330322,"(5.317470953125, -18.495219734375)",3
dectiger(2),0.6606488227844238,"(5.148325883907317, -13.499999999999998)",3,0.6096968650817871,"(5.317470953125, -18.495219734375)",3
dectiger(3),0.7333619594573975,"(5.148325883907317, -13.499999999999998)",3,0.6197471618652344,"(5.317470953125, -18.495219734375)",3
dectiger(4),0.6540982723236084,"(5.148325883907317, -13.499999999999998)",3,0.6020610332489014,"(5.317470953125, -18.495219734375)",3
