,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
relay4(0),7.010297060012817,"(-50.0, 50.0)",3,5.155210018157959,"(-51.85878962536023, 51.85878962536023)",3
relay4(1),6.834619998931885,"(-50.0, 50.0)",3,5.2274370193481445,"(-51.85878962536023, 51.85878962536023)",3
relay4(2),7.188694000244141,"(-50.0, 50.0)",3,5.261422872543335,"(-51.85878962536023, 51.85878962536023)",3
relay4(3),6.8375139236450195,"(-50.0, 50.0)",3,5.117112874984741,"(-51.85878962536023, 51.85878962536023)",3
