,State of the Art,State of the Art,State of the Art,PBVI,PBVI,PBVI
,time,value,iteration,time,value,iteration
relay4(0),5.752386093139648,"(-2.5, 44.0)",3,5.350691795349121,"(-2.8937548335072054, 83.92397463208766)",3
relay4(1),5.714477062225342,"(-2.5, 44.0)",3,5.325632572174072,"(-2.8937548335072054, 83.92397463208766)",3
relay4(2),5.7486207485198975,"(-2.5, 44.0)",3,5.426654100418091,"(-2.8937548335072054, 83.92397463208766)",3
relay4(3),5.814187049865723,"(-2.5, 44.0)",3,5.472348213195801,"(-2.8937548335072054, 83.92397463208766)",3
