gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
zerosum,True,1,2,1.7859160900115967,11,"[3.28, 3.28, 3.28]","[3.28, 3.28, 3.28]"
zerosum,True,2,2,34.12697696685791,37,"[4.0, 4.0, 4.0]","[4.0, 4.0, 4.0]"
zerosum,True,3,2,119.62802410125732,63,"[5.5189180035765615, 5.5189180035765615, 5.5189180035765615]","[5.5189180035765615, 5.5189180035765615, 5.5189180035765615]"
zerosum,False,1,2,1.4694559574127197,11,"[6.3405000000000005, 6.3405000000000005, 6.3405000000000005]","[6.3405000000000005, 6.3405000000000005, 6.3405000000000005]"
zerosum,False,2,2,24.11811399459839,37,"[10.0, 10.0, 10.0]","[10.0, 10.0, 10.0]"
zerosum,False,3,2,80.96005296707153,63,"[11.45, 11.45, 11.45]","[11.45, 11.45, 11.45]"
