gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
stackelberg,True,1,2,0.1053318977355957,1,"[-2.888888888888885, -2.888888888888885, -2.888888888888885, -2.888888888888885, -2.888888888888885]","[-52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114]"
stackelberg,True,2,2,0.7892439365386963,4,"[-5.77777777777777, -5.77777777777777, -5.77777777777777, -5.77777777777777, -5.77777777777777]","[-52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114]"
stackelberg,True,3,2,2.827995777130127,7,"[-8.666666666666655, -8.666666666666655, -8.666666666666655, -8.666666666666655, -8.666666666666655]","[-52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114]"
stackelberg,False,1,2,0.0582127571105957,1,"[-2.888888888888885, -2.888888888888885, -2.888888888888885, -2.888888888888885, -2.888888888888885]","[-52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114, -52.611111111111114]"
stackelberg,False,2,2,0.9182779788970947,4,"[-5.777777777777775, -5.777777777777775, -5.777777777777775, -5.777777777777775, -5.777777777777775]","[-105.22222222222224, -105.22222222222224, -105.22222222222224, -105.22222222222224, -105.22222222222224]"
stackelberg,False,3,2,3.3276591300964355,7,"[-8.666666666666645, -8.666666666666645, -8.666666666666645, -8.666666666666645, -8.666666666666645]","[-157.83333333333337, -157.83333333333337, -157.83333333333337, -157.83333333333337, -157.83333333333337]"
