gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0
cooperative,Stackelberg,1,2,0.18992114067077637,4,[10.815000000000001],[10.815000000000001]
cooperative,State of the Art,1,2,0.005507946014404297,4,[10.815000000000001],[10.815000000000001]
zerosum,Stackelberg,1,2,0.08398985862731934,4,[-88.22274983811785],[88.22274983811785]
zerosum,State of the Art,1,2,0.15592217445373535,4,[-88.22274983811785],[-88.22274983811785]
stackelberg,Stackelberg,1,2,0.08327198028564453,4,[3.468480039267017],[-78.47541939354277]
stackelberg,State of the Art,1,2,0.06058526039123535,4,[2.4107554144557923],[-52.611111111111114]
