gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
cooperative,True,1,2,0.006577968597412109,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
cooperative,True,2,2,0.017142772674560547,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
cooperative,True,3,2,0.027050018310546875,10,"[-8.0, -8.0, -8.0]","[-8.0, -8.0, -8.0]"
cooperative,True,4,2,0.037560224533081055,13,"[-10.0, -10.0, -10.0]","[-10.0, -10.0, -10.0]"
cooperative,False,1,2,0.4865269660949707,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
cooperative,False,2,2,0.9157559871673584,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
cooperative,False,3,2,1.520845890045166,10,"[-8.0, -8.0, -8.0]","[-8.0, -8.0, -8.0]"
cooperative,False,4,2,2.055981159210205,13,"[-10.0, -10.0, -10.0]","[-10.0, -10.0, -10.0]"
stackelberg,True,1,2,0.2906200885772705,4,"[-4.0, -4.0, -4.0]","[-9.5, -9.5, -9.5]"
stackelberg,True,2,2,0.8317980766296387,7,"[-6.0, -6.0, -6.0]","[-9.5, -9.5, -9.5]"
stackelberg,True,3,2,1.3841190338134766,10,"[-8.0, -8.0, -8.0]","[-9.5, -9.5, -9.5]"
stackelberg,True,4,2,1.9812209606170654,13,"[-10.0, -10.0, -10.0]","[-9.5, -9.5, -9.5]"
stackelberg,False,1,2,0.397050142288208,4,"[-4.0, -4.0, -4.0]","[-19.0, -19.0, -19.0]"
stackelberg,False,2,2,1.0074200630187988,7,"[-6.0, -6.0, -6.0]","[-28.5, -28.5, -28.5]"
stackelberg,False,3,2,1.5582468509674072,10,"[-8.0, -8.0, -8.0]","[-38.0, -38.0, -38.0]"
stackelberg,False,4,2,2.198622941970825,13,"[-10.0, -10.0, -10.0]","[-47.5, -47.5, -47.5]"
zerosum,True,1,2,0.40973806381225586,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
zerosum,True,2,2,1.2231056690216064,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
zerosum,True,3,2,2.092426061630249,10,"[-7.999999999999999, -7.999999999999999, -7.999999999999999]","[-7.999999999999999, -7.999999999999999, -7.999999999999999]"
zerosum,True,4,2,2.827458143234253,13,"[-10.0, -10.0, -10.0]","[-10.0, -10.0, -10.0]"
zerosum,False,1,2,0.32755184173583984,4,"[-4.0, -4.0, -4.0]","[200.0, 200.0, 200.0]"
zerosum,False,2,2,0.9938859939575195,7,"[-5.999999999999999, -5.999999999999999, -5.999999999999999]","[299.99999999999994, 299.99999999999994, 299.99999999999994]"
zerosum,False,3,2,1.9799420833587646,10,"[-7.999999999999999, -7.999999999999999, -7.999999999999999]","[400.0, 400.0, 400.0]"
zerosum,False,4,2,2.6375558376312256,13,"[-10.0, -10.0, -10.0]","[500.0, 500.0, 500.0]"
