gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
zerosum,True,1,2,0.6435079574584961,4,"[-89.48889909376278, -89.48889909376278, -89.48889909376278]","[-89.48889909376278, -89.48889909376278, -89.48889909376278]"
zerosum,True,2,2,1.6818580627441406,7,"[-135.3199844717268, -135.3199844717268, -135.3199844717268]","[-135.3199844717268, -135.3199844717268, -135.3199844717268]"
zerosum,True,3,2,3.151433229446411,10,"[-171.7396454699106, -171.7396454699106, -171.7396454699106]","[-171.7396454699106, -171.7396454699106, -171.7396454699106]"
zerosum,False,1,2,0.3993659019470215,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
zerosum,False,2,2,1.1653368473052979,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
zerosum,False,3,2,1.9838688373565674,10,"[-8.0, -8.0, -8.0]","[-8.0, -8.0, -8.0]"
