gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
stackelberg,True,1,2,0.9204628467559814,6,"[-2.0, -2.0, -2.0]","[44.0, 44.0, 44.0]"
stackelberg,True,2,2,11.650956153869629,22,"[-3.0, -3.0, -3.0]","[44.0, 44.0, 44.0]"
stackelberg,True,3,2,73.48643589019775,52,"[-4.0, -4.0, -4.0]","[44.0, 44.0, 44.0]"
stackelberg,False,1,2,1.8426339626312256,6,"[-2.0, -2.0, -2.0]","[40.55172413793104, 40.55172413793104, 40.55172413793104]"
stackelberg,False,2,2,14.18803095817566,22,"[-3.0, -3.0, -3.0]","[49.35606060606061, 49.35606060606061, 49.35606060606061]"
stackelberg,False,3,2,81.63492202758789,52,"[-4.0, -4.0, -4.0]","[36.55172413793103, 36.55172413793103, 36.55172413793103]"
