gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
stackelberg,False,1,2,0.8353488445281982,6,"[-50.0, -50.0, -50.0]","[65.75, 65.75, 65.75]"
stackelberg,False,2,2,9.63675308227539,22,"[-50.0, -50.0, -50.0]","[83.92500000000001, 83.92500000000001, 83.92500000000001]"
stackelberg,False,3,2,60.05494570732117,52,"[-50.0, -50.0, -50.0]","[-33.0, -33.0, -33.0]"
stackelberg,True,1,2,1.0054779052734375,6,"[-50.0, -50.0, -50.0]","[-33.0, -33.0, -33.0]"
stackelberg,True,2,2,8.997793912887573,22,"[-50.0, -50.0, -50.0]","[-33.0, -33.0, -33.0]"
stackelberg,True,3,2,57.29727911949158,52,"[-50.0, -50.0, -50.0]","[-33.0, -33.0, -33.0]"
