gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
zerosum,Stackelberg,2,4,3.3148040771484375,22,-51.99999999999999,51.99999999999999,0.11664,103.99999999999999
zerosum,State of the Art,2,0,3.5606467723846436,5,-52.0,-52.0,0.9,0.0
zerosum,State of the Art,2,1,3.5606467723846436,13,-52.0,-52.0,0.54,0.0
zerosum,State of the Art,2,2,3.5606467723846436,16,-52.0,-52.0,0.324,0.0
zerosum,State of the Art,2,3,3.5606467723846436,18,-52.0,-52.0,0.1944,0.0
zerosum,State of the Art,2,4,3.5606467723846436,22,-52.0,-52.0,0.11664,0.0
zerosum,Stackelberg,3,0,6.610991954803467,7,-52.99999999999999,52.99999999999999,0.9,105.99999999999999
zerosum,Stackelberg,3,1,6.610991954803467,22,-52.99999999999999,52.99999999999999,0.54,105.99999999999999
zerosum,Stackelberg,3,2,6.610991954803467,26,-52.99999999999999,52.99999999999999,0.324,105.99999999999999
zerosum,Stackelberg,3,3,6.610991954803467,36,-52.99999999999999,52.99999999999999,0.1944,105.99999999999999
zerosum,Stackelberg,3,4,6.610991954803467,48,-52.99999999999999,52.99999999999999,0.11664,105.99999999999999
zerosum,State of the Art,3,0,7.068796157836914,7,-53.0,-53.0,0.9,0.0
zerosum,State of the Art,3,1,7.068796157836914,22,-53.0,-53.0,0.54,0.0
zerosum,State of the Art,3,2,7.068796157836914,26,-53.0,-53.0,0.324,0.0
zerosum,State of the Art,3,3,7.068796157836914,36,-53.0,-53.0,0.1944,0.0
zerosum,State of the Art,3,4,7.068796157836914,48,-53.0,-53.0,0.11664,0.0
zerosum,Stackelberg,4,0,11.465414762496948,9,-53.99999999999999,53.99999999999999,0.9,107.99999999999999
zerosum,Stackelberg,4,1,11.465414762496948,31,-53.99999999999999,53.99999999999999,0.54,107.99999999999999
zerosum,Stackelberg,4,2,11.465414762496948,36,-53.99999999999999,53.99999999999999,0.324,107.99999999999999
zerosum,Stackelberg,4,3,11.465414762496948,59,-53.99999999999999,53.99999999999999,0.1944,107.99999999999999
zerosum,Stackelberg,4,4,11.465414762496948,97,-53.99999999999999,53.99999999999999,0.11664,107.99999999999999
zerosum,State of the Art,4,0,12.253139972686768,9,-54.0,-54.0,0.9,0.0
zerosum,State of the Art,4,1,12.253139972686768,31,-54.0,-54.0,0.54,0.0
zerosum,State of the Art,4,2,12.253139972686768,36,-54.0,-54.0,0.324,0.0
zerosum,State of the Art,4,3,12.253139972686768,59,-54.0,-54.0,0.1944,0.0
zerosum,State of the Art,4,4,12.253139972686768,97,-54.0,-54.0,0.11664,0.0
zerosum,Stackelberg,5,0,14.969286918640137,11,-54.99999999999999,54.99999999999999,0.9,109.99999999999999
zerosum,Stackelberg,5,1,14.969286918640137,40,-54.99999999999999,54.99999999999999,0.54,109.99999999999999
zerosum,Stackelberg,5,2,14.969286918640137,46,-54.99999999999999,54.99999999999999,0.324,109.99999999999999
zerosum,Stackelberg,5,3,14.969286918640137,84,-54.99999999999999,54.99999999999999,0.1944,109.99999999999999
zerosum,Stackelberg,5,4,14.969286918640137,100,-54.99999999999999,54.99999999999999,0.11664,109.99999999999999
zerosum,State of the Art,5,0,15.909687995910645,11,-55.0,-55.0,0.9,0.0
zerosum,State of the Art,5,1,15.909687995910645,40,-55.0,-55.0,0.54,0.0
zerosum,State of the Art,5,2,15.909687995910645,46,-55.0,-55.0,0.324,0.0
zerosum,State of the Art,5,3,15.909687995910645,84,-55.0,-55.0,0.1944,0.0
zerosum,State of the Art,5,4,15.909687995910645,100,-55.0,-55.0,0.11664,0.0
stackelberg,Stackelberg,1,0,1.0737180709838867,3,-2.0,40.55172413793104,0.9,42.55172413793104
stackelberg,Stackelberg,1,1,1.0737180709838867,5,-2.0,40.55172413793104,0.54,42.55172413793104
stackelberg,Stackelberg,1,2,1.0737180709838867,6,-2.0,40.55172413793104,0.324,42.55172413793104
stackelberg,Stackelberg,1,3,1.0737180709838867,6,-2.0,40.55172413793104,0.1944,42.55172413793104
stackelberg,Stackelberg,1,4,1.0737180709838867,6,-2.0,40.55172413793104,0.11664,42.55172413793104
stackelberg,State of the Art,1,0,0.9344589710235596,3,-2.0,44.0,0.9,46.0
stackelberg,State of the Art,1,1,0.9344589710235596,5,-2.0,44.0,0.54,46.0
