gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
zerosum,State of the Art,4,3,0.9904458522796631,9,-17.0,-17.0,0.1944,0.0
stackelberg,Stackelberg,1,0,0.22734999656677246,3,-0.6153846153846154,-13.846153846153847,0.9,13.230769230769232
stackelberg,Stackelberg,1,1,0.22734999656677246,3,-0.6153846153846154,-13.846153846153847,0.54,13.230769230769232
stackelberg,Stackelberg,1,2,0.22734999656677246,3,-0.6153846153846154,-13.846153846153847,0.324,13.230769230769232
stackelberg,Stackelberg,1,3,0.22734999656677246,3,-0.6153846153846154,-13.846153846153847,0.1944,13.230769230769232
stackelberg,State of the Art,1,0,0.32535409927368164,3,-0.6153846153846154,-6.923076923076923,0.9,6.307692307692308
stackelberg,State of the Art,1,1,0.32535409927368164,3,-0.6153846153846154,-6.923076923076923,0.54,6.307692307692308
stackelberg,State of the Art,1,2,0.32535409927368164,3,-0.6153846153846154,-6.923076923076923,0.324,6.307692307692308
stackelberg,State of the Art,1,3,0.32535409927368164,3,-0.6153846153846154,-6.923076923076923,0.1944,6.307692307692308
stackelberg,Stackelberg,2,0,0.42621612548828125,5,-0.9230769230769231,-20.76923076923077,0.9,19.846153846153847
stackelberg,Stackelberg,2,1,0.42621612548828125,5,-0.9230769230769231,-20.76923076923077,0.54,19.846153846153847
stackelberg,Stackelberg,2,2,0.42621612548828125,5,-0.9230769230769231,-20.76923076923077,0.324,19.846153846153847
stackelberg,Stackelberg,2,3,0.42621612548828125,5,-0.9230769230769231,-20.76923076923077,0.1944,19.846153846153847
stackelberg,State of the Art,2,0,0.6750228404998779,5,-0.9230769230769231,-6.923076923076923,0.9,6.0
stackelberg,State of the Art,2,1,0.6750228404998779,5,-0.9230769230769231,-6.923076923076923,0.54,6.0
stackelberg,State of the Art,2,2,0.6750228404998779,5,-0.9230769230769231,-6.923076923076923,0.324,6.0
stackelberg,State of the Art,2,3,0.6750228404998779,5,-0.9230769230769231,-6.923076923076923,0.1944,6.0
stackelberg,Stackelberg,3,0,1.2001397609710693,7,-1.2307692307692308,-27.692307692307693,0.9,26.461538461538463
stackelberg,Stackelberg,3,1,1.2001397609710693,7,-1.2307692307692308,-27.692307692307693,0.54,26.461538461538463
stackelberg,Stackelberg,3,2,1.2001397609710693,7,-1.2307692307692308,-27.692307692307693,0.324,26.461538461538463
stackelberg,Stackelberg,3,3,1.2001397609710693,7,-1.2307692307692308,-27.692307692307693,0.1944,26.461538461538463
stackelberg,State of the Art,3,0,1.1887619495391846,7,-1.2307692307692308,-6.923076923076923,0.9,5.6923076923076925
stackelberg,State of the Art,3,1,1.1887619495391846,7,-1.2307692307692308,-6.923076923076923,0.54,5.6923076923076925
stackelberg,State of the Art,3,2,1.1887619495391846,7,-1.2307692307692308,-6.923076923076923,0.324,5.6923076923076925
stackelberg,State of the Art,3,3,1.1887619495391846,7,-1.2307692307692308,-6.923076923076923,0.1944,5.6923076923076925
stackelberg,Stackelberg,4,0,0.7625069618225098,9,-1.5384615384615388,-34.61538461538461,0.9,33.07692307692307
stackelberg,Stackelberg,4,1,0.7625069618225098,9,-1.5384615384615388,-34.61538461538461,0.54,33.07692307692307
stackelberg,Stackelberg,4,2,0.7625069618225098,9,-1.5384615384615388,-34.61538461538461,0.324,33.07692307692307
stackelberg,Stackelberg,4,3,0.7625069618225098,9,-1.5384615384615388,-34.61538461538461,0.1944,33.07692307692307
stackelberg,State of the Art,4,0,0.8849189281463623,9,-1.5384615384615385,-6.923076923076923,0.9,5.384615384615385
stackelberg,State of the Art,4,1,0.8849189281463623,9,-1.5384615384615385,-6.923076923076923,0.54,5.384615384615385
stackelberg,State of the Art,4,2,0.8849189281463623,9,-1.5384615384615385,-6.923076923076923,0.324,5.384615384615385
stackelberg,State of the Art,4,3,0.8849189281463623,9,-1.5384615384615385,-6.923076923076923,0.1944,5.384615384615385
