gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
zerosum,False,1,2,0.11936497688293457,4,[-4.0],[200.0]
zerosum,False,2,2,0.23946332931518555,7,[-5.999999999999999],[299.99999999999994]
zerosum,False,3,2,0.345304012298584,10,[-7.999999999999999],[400.0]
zerosum,False,4,2,0.8299069404602051,13,[-10.0],[500.0]
zerosum,True,1,2,0.1207430362701416,4,[-4.0],[-4.0]
zerosum,True,2,2,0.3087880611419678,7,[-6.0],[-6.0]
zerosum,True,3,2,0.4821920394897461,10,[-7.999999999999999],[-7.999999999999999]
zerosum,True,4,2,0.642549991607666,13,[-10.0],[-10.0]
