gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
zerosum,State of the Art,1,4,0.6821529865264893,11,3.804469162875386,3.804469162875386,0.11664,0.0
zerosum,Stackelberg,2,0,1.4199869632720947,5,4.0,-4.0,0.9,8.0
zerosum,Stackelberg,2,1,1.4199869632720947,10,4.446416350754076,-4.0,0.54,8.446416350754076
zerosum,Stackelberg,2,2,1.4199869632720947,16,4.605505461364903,-4.0,0.324,8.605505461364903
zerosum,Stackelberg,2,3,1.4199869632720947,28,4.6178059021853155,-4.0,0.1944,8.617805902185316
zerosum,Stackelberg,2,4,1.4199869632720947,31,4.6178059021853155,-4.0,0.11664,8.617805902185316
zerosum,State of the Art,2,0,1.7746219635009766,5,4.199999999999999,4.199999999999999,0.9,0.0
zerosum,State of the Art,2,1,1.7746219635009766,10,4.806254499954786,4.806254499954786,0.54,0.0
zerosum,State of the Art,2,2,1.7746219635009766,16,4.837483759473525,4.837483759473525,0.324,0.0
zerosum,State of the Art,2,3,1.7746219635009766,28,4.857663683870029,4.857663683870029,0.1944,0.0
zerosum,State of the Art,2,4,1.7746219635009766,31,4.857663683870029,4.857663683870029,0.11664,0.0
zerosum,Stackelberg,3,0,2.498095750808716,7,4.700729927007299,-4.700729927007299,0.9,9.401459854014599
zerosum,Stackelberg,3,1,2.498095750808716,15,5.069100720511229,-4.700729927007299,0.54,9.769830647518528
zerosum,Stackelberg,3,2,2.498095750808716,26,5.706236626010332,-4.700729927007299,0.324,10.406966553017632
zerosum,Stackelberg,3,3,2.498095750808716,45,5.829215059940989,-4.700729927007299,0.1944,10.529944986948287
zerosum,Stackelberg,3,4,2.498095750808716,51,5.829215059940989,-4.700729927007299,0.11664,10.529944986948287
zerosum,State of the Art,3,0,2.9796738624572754,7,5.279999999999999,5.279999999999999,0.9,0.0
zerosum,State of the Art,3,1,2.9796738624572754,15,5.8110712845260535,5.8110712845260535,0.54,0.0
zerosum,State of the Art,3,2,2.9796738624572754,26,6.048306288436571,6.048306288436571,0.324,0.0
zerosum,State of the Art,3,3,2.9796738624572754,45,6.071648959215221,6.071648959215221,0.1944,0.0
zerosum,State of the Art,3,4,2.9796738624572754,51,6.071648959215221,6.071648959215221,0.11664,0.0
zerosum,Stackelberg,4,0,3.71281099319458,9,6.0,-6.0,0.9,12.0
zerosum,Stackelberg,4,1,3.71281099319458,20,6.221535660781404,-6.0,0.54,12.221535660781404
zerosum,Stackelberg,4,2,3.71281099319458,36,6.756087519446609,-6.0,0.324,12.75608751944661
zerosum,Stackelberg,4,3,3.71281099319458,62,6.826400696555353,-6.0,0.1944,12.826400696555353
zerosum,Stackelberg,4,4,3.71281099319458,71,6.826400696555353,-6.0,0.11664,12.826400696555353
zerosum,State of the Art,4,0,4.182168245315552,9,6.199999999999999,6.199999999999999,0.9,0.0
zerosum,State of the Art,4,1,4.182168245315552,20,6.786808231706316,6.786808231706316,0.54,0.0
zerosum,State of the Art,4,2,4.182168245315552,36,7.119443918831882,7.119443918831882,0.324,0.0
zerosum,State of the Art,4,3,4.182168245315552,62,7.138478367200773,7.138478367200773,0.1944,0.0
zerosum,State of the Art,4,4,4.182168245315552,71,7.138478367200773,7.138478367200773,0.11664,0.0
zerosum,Stackelberg,5,0,4.760580062866211,11,6.700729927007299,-6.700729927007299,0.9,13.401459854014599
zerosum,Stackelberg,5,1,4.760580062866211,25,7.237730158368294,-6.700729927007299,0.54,13.938460085375592
zerosum,Stackelberg,5,2,4.760580062866211,46,7.728552199181449,-6.700729927007299,0.324,14.429282126188749
zerosum,Stackelberg,5,3,4.760580062866211,79,7.72955276346606,-6.700729927007299,0.1944,14.430282690473359
zerosum,Stackelberg,5,4,4.760580062866211,91,7.737992598493449,-6.700729927007299,0.11664,14.438722525500747
zerosum,State of the Art,5,0,5.240875005722046,11,7.279999999999999,7.279999999999999,0.9,0.0
zerosum,State of the Art,5,1,5.240875005722046,25,7.780207171466528,7.780207171466528,0.54,0.0
zerosum,State of the Art,5,2,5.240875005722046,46,8.130632334137456,8.130632334137456,0.324,0.0
zerosum,State of the Art,5,3,5.240875005722046,79,8.15475048565225,8.15475048565225,0.1944,0.0
zerosum,State of the Art,5,4,5.240875005722046,91,8.15475048565225,8.15475048565225,0.11664,0.0
stackelberg,Stackelberg,1,0,0.546989917755127,3,4.991194871794871,-1.2538461538461538,0.9,6.245041025641025
stackelberg,Stackelberg,1,1,0.546989917755127,5,5.8293506493506495,-1.2538461538461538,0.54,7.083196803196803
stackelberg,Stackelberg,1,2,0.546989917755127,6,5.8293506493506495,-1.2538461538461538,0.324,7.083196803196803
stackelberg,Stackelberg,1,3,0.546989917755127,11,5.8293506493506495,-1.2538461538461538,0.1944,7.083196803196803
stackelberg,Stackelberg,1,4,0.546989917755127,11,5.8293506493506495,-1.2538461538461538,0.11664,7.083196803196803
stackelberg,State of the Art,1,0,0.4816150665283203,3,4.96265,-0.75,0.9,5.71265
stackelberg,State of the Art,1,1,0.4816150665283203,5,5.822625,-0.75,0.54,6.572625
stackelberg,State of the Art,1,2,0.4816150665283203,6,5.822625,-0.75,0.324,6.572625
stackelberg,State of the Art,1,3,0.4816150665283203,11,5.822625,-0.75,0.1944,6.572625
stackelberg,State of the Art,1,4,0.4816150665283203,11,5.822625,-0.75,0.11664,6.572625
stackelberg,Stackelberg,2,0,1.3985297679901123,5,7.933333333333335,-1.768888888888889,0.9,9.702222222222224
