gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
zerosum,True,1,2,0.8716950416564941,6,"[-51.0, -51.0, -51.0]","[-51.0, -51.0, -51.0]"
zerosum,True,2,2,10.821318864822388,22,"[-52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0]"
zerosum,False,1,2,0.7461700439453125,6,"[-50.99999999999999, -50.99999999999999, -50.99999999999999]","[50.99999999999999, 50.99999999999999, 50.99999999999999]"
zerosum,False,2,2,8.99977707862854,22,"[-51.99999999999999, -51.99999999999999, -51.99999999999999]","[51.99999999999999, 51.99999999999999, 51.99999999999999]"
