gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,0.31789493560791016,3,7.500000000000001,7.500000000000001,0.9,0.0
cooperative,Stackelberg,1,1,0.31789493560791016,4,10.815000000000001,10.815000000000001,0.54,0.0
cooperative,State of the Art,1,0,0.02390122413635254,3,7.500000000000001,7.500000000000001,0.9,0.0
cooperative,State of the Art,1,1,0.02390122413635254,4,10.815000000000001,10.815000000000001,0.54,0.0
cooperative,Stackelberg,2,0,0.4786500930786133,5,11.7475,11.7475,0.9,0.0
cooperative,Stackelberg,2,1,0.4786500930786133,7,13.015487500000003,13.015487500000003,0.54,0.0
cooperative,State of the Art,2,0,0.04665780067443848,5,11.7475,11.7475,0.9,0.0
cooperative,State of the Art,2,1,0.04665780067443848,7,13.015487500000003,13.015487500000003,0.54,0.0
zerosum,Stackelberg,1,0,0.2855191230773926,3,-88.22274983811785,88.22274983811785,0.9,176.4454996762357
zerosum,Stackelberg,1,1,0.2855191230773926,4,-88.22274983811785,88.22274983811785,0.54,176.4454996762357
zerosum,State of the Art,1,0,0.4041600227355957,3,-88.22274983811785,-88.22274983811785,0.9,0.0
zerosum,State of the Art,1,1,0.4041600227355957,4,-88.22274983811785,-88.22274983811785,0.54,0.0
zerosum,Stackelberg,2,0,0.49543094635009766,5,-125.25059326342148,125.25059326342148,0.9,250.50118652684296
zerosum,Stackelberg,2,1,0.49543094635009766,7,-125.25059326342148,125.25059326342148,0.54,250.50118652684296
zerosum,State of the Art,2,0,0.7348721027374268,5,-125.25059326342148,-125.25059326342148,0.9,0.0
zerosum,State of the Art,2,1,0.7348721027374268,7,-125.25059326342148,-125.25059326342148,0.54,0.0
stackelberg,Stackelberg,1,0,0.3042640686035156,3,-4.091420702443281,-77.89330660994764,0.9,73.80188590750436
stackelberg,Stackelberg,1,1,0.3042640686035156,4,3.468480039267017,-77.89330660994764,0.54,81.36178664921466
stackelberg,State of the Art,1,0,0.25726318359375,3,-5.5953426774287305,-52.611111111111114,0.9,47.01576843368238
stackelberg,State of the Art,1,1,0.25726318359375,4,2.4107554144557923,-52.611111111111114,0.54,55.02186652556691
stackelberg,Stackelberg,2,0,0.4619174003601074,5,-10.413742182955195,-120.09319717132055,0.9,109.67945498836536
stackelberg,Stackelberg,2,1,0.4619174003601074,7,3.9693230048356627,-113.57303189445173,0.54,117.54235489928739
stackelberg,State of the Art,2,0,0.44269490242004395,5,-10.4137421829552,-52.611111111111114,0.9,42.19736892815591
stackelberg,State of the Art,2,1,0.44269490242004395,7,2.7442729666996524,-52.611111111111114,0.54,55.35538407781077
