gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,Stackelberg,1,3,"[0.039808034896850586, 0.07184314727783203, 0.10739302635192871]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.125005, 1e-05]"
cooperative,Stackelberg,2,3,"[0.28873777389526367, 0.6693267822265625, 1.0664258003234863]","[13, 20, 26]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[0.25, 0.125005, 1e-05]"
cooperative,Stackelberg,3,3,"[0.8456480503082275, 2.1539978981018066, 3.7455132007598877]","[13, 20, 26]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[0.25, 0.125005, 1e-05]"
cooperative,State of the Art,1,3,"[0.0017728805541992188, 0.003222942352294922, 0.0047321319580078125]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.125005, 1e-05]"
cooperative,State of the Art,2,3,"[0.03417778015136719, 0.0959019660949707, 0.16795086860656738]","[13, 20, 26]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[0.25, 0.125005, 1e-05]"
cooperative,State of the Art,3,3,"[0.11467909812927246, 0.36110472679138184, 0.6743028163909912]","[13, 20, 26]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[0.25, 0.125005, 1e-05]"
zerosum,Stackelberg,1,3,"[0.0327761173248291, 0.06491303443908691, 0.10037422180175781]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.125005, 1e-05]"
zerosum,Stackelberg,2,3,"[0.29052186012268066, 0.6784698963165283, 1.086940050125122]","[13, 20, 26]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[0.25, 0.125005, 1e-05]"
zerosum,Stackelberg,3,3,"[0.8341140747070312, 2.09382700920105, 3.7172458171844482]","[13, 20, 26]","[(2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672)]","[(2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672)]","[0.25, 0.125005, 1e-05]"
zerosum,State of the Art,1,3,"[0.05216383934020996, 0.10859084129333496, 0.16196370124816895]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.125005, 1e-05]"
zerosum,State of the Art,2,3,"[0.45307016372680664, 1.0271012783050537, 1.6298060417175293]","[13, 20, 26]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[0.25, 0.125005, 1e-05]"
zerosum,State of the Art,3,3,"[1.192478895187378, 2.9846131801605225, 5.222727298736572]","[13, 20, 26]","[(2.493849677638276, -2.493849677638276), (2.493849677638276, -2.493849677638276), (2.493849677638276, -2.493849677638276)]","[(2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672), (2.398244213886672, -2.398244213886672)]","[0.25, 0.125005, 1e-05]"
stackelberg,Stackelberg,1,3,"[0.03416705131530762, 0.06901311874389648, 0.10470819473266602]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.125005, 1e-05]"
stackelberg,Stackelberg,2,3,"[0.33463311195373535, 0.7434267997741699, 1.1617529392242432]","[13, 20, 26]","[(3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326)]","[(3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326)]","[0.25, 0.125005, 1e-05]"
stackelberg,Stackelberg,3,3,"[0.9018111228942871, 2.3069558143615723, 4.088166952133179]","[13, 20, 26]","[(5.006760563380283, 3.3680281690140843), (5.451167512690356, 2.3677664974619286), (5.451167512690356, 2.3677664974619286)]","[(5.006760563380283, 3.3680281690140843), (5.451167512690356, 2.3677664974619286), (5.451167512690356, 2.3677664974619286)]","[0.25, 0.125005, 1e-05]"
stackelberg,State of the Art,1,3,"[0.03939700126647949, 0.08011698722839355, 0.12028908729553223]","[8, 10, 10]","[(0.0, 1.0), (0.0, 1.0), (0.0, 1.0)]","[(0.0, 1.0), (0.0, 1.0), (0.0, 1.0)]","[0.25, 0.125005, 1e-05]"
stackelberg,State of the Art,2,3,"[0.3896031379699707, 0.8546648025512695, 1.3265118598937988]","[13, 20, 26]","[(3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326)]","[(3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326), (3.9999999999999996, -0.33333333333333326)]","[0.25, 0.125005, 1e-05]"
stackelberg,State of the Art,3,3,"[1.0026569366455078, 2.5202128887176514, 4.324722766876221]","[13, 20, 26]","[(5.089499999999998, -0.75), (5.089499999999998, -0.75), (5.089499999999998, -0.75)]","[(5.089499999999998, -0.75), (5.089499999999998, -0.75), (5.089499999999998, -0.75)]","[0.25, 0.125005, 1e-05]"
