gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.002100229263305664],3,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,State of the Art,2,1,[0.005449771881103516],5,"[(0.06625000000000014, 0.06625000000000014)]","[(0.06625000000000014, 0.06625000000000014)]",1e-07
cooperative,State of the Art,3,1,[0.01363682746887207],7,"[(-0.3824718749999998, -0.3824718749999998)]","[(-0.3824718749999998, -0.3824718749999998)]",1e-07
cooperative,State of the Art,4,1,[0.023406028747558594],9,"[(-0.46301272656250014, -0.46301272656250014)]","[(-0.46301272656250014, -0.46301272656250014)]",1e-07
cooperative,State of the Art,5,1,[0.04424595832824707],11,"[(-1.005672510605469, -1.005672510605469)]","[(-1.005672510605469, -1.005672510605469)]",1e-07
cooperative,Stackelberg,1,1,[0.026155948638916016],3,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,Stackelberg,2,1,[0.10316324234008789],5,"[(0.06625000000000014, 0.06625000000000014)]","[(0.06625000000000014, 0.06625000000000014)]",1e-07
cooperative,Stackelberg,3,1,[0.22587180137634277],7,"[(-0.3824718749999998, -0.3824718749999998)]","[(-0.3824718749999998, -0.3824718749999998)]",1e-07
cooperative,Stackelberg,4,1,[0.39574503898620605],9,"[(-0.46301272656250014, -0.46301272656250014)]","[(-0.46301272656250014, -0.46301272656250014)]",1e-07
cooperative,Stackelberg,5,1,[0.6869750022888184],11,"[(-1.005672510605469, -1.005672510605469)]","[(-1.005672510605469, -1.005672510605469)]",1e-07
zerosum,State of the Art,1,1,[0.04094529151916504],3,"[(-9.0625, 9.0625)]","[(-9.0625, 9.0625)]",1e-07
zerosum,State of the Art,2,1,[0.1643688678741455],5,"[(-17.875482110618744, 17.875482110618744)]","[(-17.875482110618744, 17.875482110618744)]",1e-07
zerosum,State of the Art,3,1,[0.36153292655944824],7,"[(-26.627951167697134, 26.627951167697134)]","[(-26.63387336489935, 26.63387336489935)]",1e-07
zerosum,State of the Art,4,1,[0.6775081157684326],9,"[(-35.36811530671461, 35.36811530671461)]","[(-35.380913355626916, 35.380913355626916)]",1e-07
zerosum,State of the Art,5,1,[1.0617880821228027],11,"[(-44.105772104083336, 44.105772104083336)]","[(-44.12562036355291, 44.12562036355291)]",1e-07
zerosum,Stackelberg,1,1,[0.035423994064331055],3,"[(-9.0625, 9.0625)]","[(-9.0625, 9.0625)]",1e-07
zerosum,Stackelberg,2,1,[0.14154624938964844],5,"[(-17.875482110618744, 17.875482110618744)]","[(-17.875482110618744, 17.875482110618744)]",1e-07
zerosum,Stackelberg,3,1,[0.3068091869354248],7,"[(-26.627951167697134, 26.627951167697134)]","[(-26.63387336489935, 26.63387336489935)]",1e-07
zerosum,Stackelberg,4,1,[0.4759390354156494],9,"[(-35.36811530671461, 35.36811530671461)]","[(-35.38091335562692, 35.38091335562692)]",1e-07
zerosum,Stackelberg,5,1,[0.7620549201965332],11,"[(-44.10577210408333, 44.10577210408333)]","[(-44.12562036355291, 44.12562036355291)]",1e-07
stackelberg,State of the Art,1,1,[0.05994009971618652],3,"[(-5.5, 1.5)]","[(-5.5, 1.5)]",1e-07
stackelberg,State of the Art,2,1,[0.11288785934448242],5,"[(-8.83804347826087, 1.5)]","[(-8.83804347826087, 1.5)]",1e-07
stackelberg,State of the Art,3,1,[0.295626163482666],7,"[(-11.010252008506615, 1.5)]","[(-11.076724834593573, 1.5)]",1e-07
stackelberg,State of the Art,4,1,[0.4852120876312256],9,"[(-12.4375, 1.5)]","[(-12.740051915914977, 1.5)]",1e-07
stackelberg,State of the Art,5,1,[0.7479009628295898],11,"[(-13.71875, 1.5)]","[(-13.971650063905091, 1.5)]",1e-07
stackelberg,Stackelberg,1,1,[0.03178596496582031],3,"[(-5.5, 1.5)]","[(-5.5, 1.5)]",1e-07
stackelberg,Stackelberg,2,1,[0.13857793807983398],5,"[(-8.83804347826087, 2.132608695652174)]","[(-8.83804347826087, 2.132608695652174)]",1e-07
stackelberg,Stackelberg,3,1,[0.2638070583343506],7,"[(-11.016720184479473, 2.5136916464576475)]","[(-11.083193010566431, 2.4250612116750387)]",1e-07
stackelberg,Stackelberg,4,1,[0.4541621208190918],9,"[(-12.4375, 2.8125)]","[(-12.625765207517125, 2.6416567812131113)]",1e-07
stackelberg,Stackelberg,5,1,[0.6893632411956787],11,"[(-13.71875, 2.90625)]","[(-13.854418007889361, 2.7867733727513584)]",1e-07
