gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.006691932678222656],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,State of the Art,2,1,[0.015218019485473633],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,3,1,[0.024893999099731445],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,4,1,[0.04381275177001953],9,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,5,1,[0.07354903221130371],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,6,1,[0.12816309928894043],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,1,1,[0.0300140380859375],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,Stackelberg,2,1,[0.12523603439331055],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,3,1,[0.27289915084838867],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,4,1,[0.5207998752593994],9,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,5,1,[0.8438851833343506],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,6,1,[1.3287217617034912],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
zerosum,State of the Art,1,1,[0.05284690856933594],3,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,2,1,[0.18809795379638672],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,3,1,[0.39363789558410645],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,4,1,[0.757910966873169],9,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,5,1,[1.1307802200317383],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,6,1,[1.6375072002410889],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,1,1,[0.03873777389526367],3,"[(-74.99999999999999, 74.99999999999999)]","[(-74.99999999999999, 74.99999999999999)]",1e-07
zerosum,Stackelberg,2,1,[0.15709519386291504],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,3,1,[0.3337819576263428],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,4,1,[0.593235969543457],9,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,5,1,[0.9931840896606445],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,6,1,[1.3645951747894287],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
stackelberg,State of the Art,1,1,[0.036048173904418945],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,2,1,[0.14052081108093262],5,"[(6.241484374999999, -13.499999999999998)]","[(6.241484374999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,3,1,[0.3164961338043213],7,"[(5.366260021972655, -13.499999999999998)]","[(5.366260021972655, -13.499999999999998)]",1e-07
stackelberg,State of the Art,4,1,[0.587374210357666],9,"[(5.150947903722762, -13.499999999999998)]","[(5.148325883907317, -13.499999999999998)]",1e-07
stackelberg,State of the Art,5,1,[0.9816281795501709],11,"[(5.097271785706588, -13.499999999999998)]","[(5.093455108112731, -13.499999999999998)]",1e-07
stackelberg,State of the Art,6,1,[1.3256330490112305],11,"[(5.083776132435183, -13.499999999999998)]","[(5.079569464409522, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,1,1,[0.030698060989379883],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,2,1,[0.1493968963623047],5,"[(6.241484375000001, -9.289609375)]","[(6.241484375000001, -9.289609375)]",1e-07
stackelberg,Stackelberg,3,1,[0.3098428249359131],7,"[(5.5203625, -16.6259)]","[(5.5203625, -16.6259)]",1e-07
stackelberg,Stackelberg,4,1,[0.5574877262115479],9,"[(5.317470953125, -18.495219734375)]","[(5.317470953125, -18.495219734375)]",1e-07
stackelberg,Stackelberg,5,1,[0.9008510112762451],11,"[(5.265733608671876, -18.971896266640627)]","[(5.265733608671876, -18.971896266640627)]",1e-07
stackelberg,Stackelberg,6,1,[1.3079981803894043],11,"[(5.2525405858363285, -19.093448782368363)]","[(5.2525405858363285, -19.093448782368363)]",1e-07
