gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.007906198501586914],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,State of the Art,2,1,[0.02787613868713379],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,3,1,[0.0343780517578125],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,4,1,[0.043324947357177734],9,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,5,1,[0.07029104232788086],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,6,1,[0.11182594299316406],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,7,1,[0.14855599403381348],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,8,1,[0.19662189483642578],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,9,1,[0.22788596153259277],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,10,1,[0.2684171199798584],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,1,1,[0.05800890922546387],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,Stackelberg,2,1,[0.13770484924316406],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,3,1,[0.3085918426513672],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,4,1,[0.6064479351043701],9,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,5,1,[0.9644153118133545],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,6,1,[1.424551010131836],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,7,1,[1.6874768733978271],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,8,1,[2.04101824760437],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,9,1,[2.366244077682495],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,10,1,[2.742017984390259],11,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
zerosum,State of the Art,1,1,[0.04805803298950195],3,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,2,1,[0.17556309700012207],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,3,1,[0.388002872467041],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,4,1,[0.710974931716919],9,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,5,1,[1.0800411701202393],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,6,1,[1.5674858093261719],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,7,1,[2.130465030670166],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,8,1,[2.565436840057373],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,9,1,[3.072038173675537],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,10,1,[3.430248975753784],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,1,1,[0.039830923080444336],3,"[(-74.99999999999999, 74.99999999999999)]","[(-74.99999999999999, 74.99999999999999)]",1e-07
zerosum,Stackelberg,2,1,[0.1478862762451172],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,3,1,[0.35477209091186523],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,4,1,[0.628568172454834],9,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,5,1,[0.9128241539001465],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,6,1,[1.3067219257354736],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,7,1,[1.665513038635254],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,8,1,[2.2099571228027344],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,9,1,[2.438552141189575],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,10,1,[2.9034929275512695],11,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
stackelberg,State of the Art,1,1,[0.03218889236450195],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,2,1,[0.14644503593444824],5,"[(6.241484374999999, -13.499999999999998)]","[(6.241484374999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,3,1,[0.34990501403808594],7,"[(5.366260021972655, -13.499999999999998)]","[(5.366260021972655, -13.499999999999998)]",1e-07
stackelberg,State of the Art,4,1,[0.6164040565490723],9,"[(5.150947903722762, -13.499999999999998)]","[(5.148325883907317, -13.499999999999998)]",1e-07
stackelberg,State of the Art,5,1,[0.905493974685669],11,"[(5.097271785706588, -13.499999999999998)]","[(5.093455108112731, -13.499999999999998)]",1e-07
stackelberg,State of the Art,6,1,[1.2474939823150635],11,"[(5.083776132435183, -13.499999999999998)]","[(5.079569464409522, -13.499999999999998)]",1e-07
stackelberg,State of the Art,7,1,[1.654021978378296],11,"[(5.080364672892522, -13.499999999999998)]","[(5.076045847391937, -13.499999999999998)]",1e-07
stackelberg,State of the Art,8,1,[2.0753562450408936],11,"[(5.079499422913754, -13.499999999999998)]","[(5.0751501988997285, -13.499999999999998)]",1e-07
stackelberg,State of the Art,9,1,[2.4738729000091553],11,"[(5.079279513471105, -13.499999999999998)]","[(5.0749222879925515, -13.499999999999998)]",1e-07
stackelberg,State of the Art,10,1,[2.87487530708313],11,"[(5.079223550402705, -13.499999999999998)]","[(5.074864247651966, -13.499999999999998)]",1e-07
