gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,Stackelberg,1,3,"[0.055348873138427734, 0.08320999145507812, 0.10618090629577637]","[3, 3, 3]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.5, 0.2505, 0.001]"
cooperative,Stackelberg,2,3,"[0.09161591529846191, 0.186323881149292, 0.2800278663635254]","[3, 3, 5]","[(-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0)]","[(-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0)]","[0.5, 0.2505, 0.001]"
cooperative,Stackelberg,3,3,"[0.1699991226196289, 0.3313562870025635, 0.5411131381988525]","[3, 3, 7]","[(0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004)]","[(0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004)]","[0.5, 0.2505, 0.001]"
cooperative,State of the Art,1,3,"[0.0008859634399414062, 0.0016100406646728516, 0.0023550987243652344]","[3, 3, 3]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.5, 0.2505, 0.001]"
cooperative,State of the Art,2,3,"[0.0030493736267089844, 0.006215333938598633, 0.009174108505249023]","[3, 3, 5]","[(-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0)]","[(-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0)]","[0.5, 0.2505, 0.001]"
cooperative,State of the Art,3,3,"[0.004445075988769531, 0.00869607925415039, 0.01530313491821289]","[3, 3, 7]","[(0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004)]","[(0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004), (0.32125000000000004, 0.32125000000000004)]","[0.5, 0.2505, 0.001]"
zerosum,Stackelberg,1,3,"[0.025747060775756836, 0.05074596405029297, 0.07485508918762207]","[3, 3, 3]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.5, 0.2505, 0.001]"
zerosum,Stackelberg,2,3,"[0.1008310317993164, 0.24226999282836914, 0.3506770133972168]","[3, 3, 5]","[(-9.0625, 9.0625), (-9.0625, 9.0625), (-9.0625, 9.0625)]","[(-9.0625, 9.0625), (-9.0625, 9.0625), (-9.0625, 9.0625)]","[0.5, 0.2505, 0.001]"
zerosum,Stackelberg,3,3,"[0.19133687019348145, 0.39644622802734375, 0.7346532344818115]","[3, 3, 7]","[(-9.319146517092399, 9.319146517092399), (-9.319146517092399, 9.319146517092399), (-9.319146517092399, 9.319146517092399)]","[(-9.319146517092399, 9.319146517092399), (-9.319146517092399, 9.319146517092399), (-9.319146517092399, 9.319146517092399)]","[0.5, 0.2505, 0.001]"
zerosum,State of the Art,1,3,"[0.04199719429016113, 0.08205604553222656, 0.12094807624816895]","[3, 3, 3]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.5, 0.2505, 0.001]"
