gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.010339975357055664],4,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,State of the Art,2,1,[0.046484947204589844],17,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,State of the Art,3,1,[0.23897409439086914],60,"[(7.327499999999999, 7.327499999999999)]","[(7.327499999999999, 7.327499999999999)]",1e-07
cooperative,State of the Art,4,1,[0.9368348121643066],100,"[(14.44575, 14.44575)]","[(12.747275, 12.747275)]",1e-07
cooperative,Stackelberg,1,1,[0.04500699043273926],4,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,Stackelberg,2,1,[0.23696184158325195],17,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,Stackelberg,3,1,[1.0579509735107422],60,"[(7.327499999999999, 7.327499999999999)]","[(7.327499999999999, 7.327499999999999)]",1e-07
cooperative,Stackelberg,4,1,[4.196994781494141],100,"[(14.44575, 14.44575)]","[(12.747275, 12.747275)]",1e-07
zerosum,State of the Art,1,1,[0.06350469589233398],4,"[(-50.0, 50.0)]","[(-50.0, 50.0)]",1e-07
zerosum,State of the Art,2,1,[0.32187390327453613],17,"[(-50.0, 50.0)]","[(-50.85878962536023, 50.85878962536023)]",1e-07
zerosum,State of the Art,3,1,[1.5720579624176025],60,"[(-50.0, 50.0)]","[(-90.43572976772148, 90.43572976772148)]",1e-07
zerosum,State of the Art,4,1,[5.87905478477478],100,"[(-50.0, 50.0)]","[(-134.08031841761436, 134.08031841761436)]",1e-07
zerosum,Stackelberg,1,1,[0.04749608039855957],4,"[(-50.0, 50.0)]","[(-50.0, 50.0)]",1e-07
zerosum,Stackelberg,2,1,[0.24082398414611816],17,"[(-50.85878962536023, 50.85878962536023)]","[(-50.85878962536023, 50.85878962536023)]",1e-07
zerosum,Stackelberg,3,1,[1.1423139572143555],60,"[(-51.85878962536023, 51.85878962536023)]","[(-90.43572976772148, 90.43572976772148)]",1e-07
zerosum,Stackelberg,4,1,[4.355801105499268],100,"[(-52.85878962536023, 52.85878962536023)]","[(-134.0803184176143, 134.0803184176143)]",1e-07
stackelberg,State of the Art,1,1,[0.05779886245727539],4,"[(-1.0, 35.75)]","[(-1.0, 35.75)]",1e-07
stackelberg,State of the Art,2,1,[0.4520728588104248],17,"[(-2.0, 33.0)]","[(-2.0, 33.0)]",1e-07
stackelberg,State of the Art,3,1,[1.4798860549926758],60,"[(-2.5, 44.0)]","[(-3.0, 33.0)]",1e-07
stackelberg,State of the Art,4,1,[5.271911859512329],100,"[(-4.0, 33.0)]","[(-4.0, 33.0)]",1e-07
stackelberg,Stackelberg,1,1,[0.056574344635009766],4,"[(-1.0, 35.75)]","[(-1.0, 35.75)]",1e-07
stackelberg,Stackelberg,2,1,[0.29669713973999023],17,"[(-1.9869683008338468, 65.1051780847474)]","[(-1.9869683008338468, 65.1051780847474)]",1e-07
stackelberg,Stackelberg,3,1,[1.4204809665679932],60,"[(-2.893754833507205, 83.92397463208765)]","[(-3.0, 97.37500000000001)]",1e-07
stackelberg,Stackelberg,4,1,[5.203244209289551],100,"[(-3.865158987143461, 114.68695094851684)]","[(-4.0, 134.375)]",1e-07
