gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.009174108505249023],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,State of the Art,2,1,[0.04120802879333496],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,State of the Art,3,1,[0.10256385803222656],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
cooperative,Stackelberg,1,1,[0.039257049560546875],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,Stackelberg,2,1,[0.20580816268920898],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,Stackelberg,3,1,[0.5825481414794922],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
zerosum,State of the Art,1,1,[0.0599820613861084],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,State of the Art,2,1,[0.2947380542755127],9,"[(0.8700000000000001, -0.8700000000000001)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,State of the Art,3,1,[0.8791942596435547],16,"[(1.2053897736797998, -1.2053897736797998)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
zerosum,Stackelberg,1,1,[0.04771709442138672],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,Stackelberg,2,1,[0.2609679698944092],9,"[(0.620162932790224, -0.620162932790224)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,Stackelberg,3,1,[0.7832529544830322],16,"[(0.7099587400609255, -0.7099587400609255)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
stackelberg,State of the Art,1,1,[0.0414891242980957],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,State of the Art,2,1,[0.2514808177947998],9,"[(1.9999999999999996, 0.0)]","[(1.9999999999999996, 0.0)]",1e-07
stackelberg,State of the Art,3,1,[0.6624660491943359],16,"[(2.8999999999999995, 0.0)]","[(2.8999999999999995, 0.0)]",1e-07
stackelberg,Stackelberg,1,1,[0.04742789268493652],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,Stackelberg,2,1,[0.36196303367614746],9,"[(1.0999999999999999, 0.0)]","[(1.0999999999999999, 0.0)]",1e-07
stackelberg,Stackelberg,3,1,[0.6896929740905762],16,"[(1.2000000000000002, 0.0)]","[(1.2000000000000002, 0.0)]",1e-07
