gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.005800962448120117],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,State of the Art,2,1,[0.021165847778320312],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,State of the Art,3,1,[0.06276130676269531],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
cooperative,State of the Art,4,1,[0.14165782928466797],25,"[(3.890000000000001, 3.890000000000001)]","[(3.890000000000001, 3.890000000000001)]",1e-07
cooperative,State of the Art,5,1,[0.2904200553894043],36,"[(4.790000000000002, 4.790000000000002)]","[(4.790000000000002, 4.790000000000002)]",1e-07
cooperative,Stackelberg,1,1,[0.04035592079162598],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,Stackelberg,2,1,[0.15074491500854492],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,Stackelberg,3,1,[0.4107508659362793],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
cooperative,Stackelberg,4,1,[0.8896887302398682],25,"[(3.890000000000001, 3.890000000000001)]","[(3.890000000000001, 3.890000000000001)]",1e-07
cooperative,Stackelberg,5,1,[1.725226879119873],36,"[(4.790000000000002, 4.790000000000002)]","[(4.790000000000002, 4.790000000000002)]",1e-07
zerosum,State of the Art,1,1,[0.04380202293395996],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,State of the Art,2,1,[0.22061705589294434],9,"[(0.8700000000000001, -0.8700000000000001)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,State of the Art,3,1,[0.6502048969268799],16,"[(1.2053897736797998, -1.2053897736797998)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
zerosum,State of the Art,4,1,[1.4047338962554932],25,"[(1.3478039178667685, -1.3478039178667685)]","[(0.789706633201831, -0.789706633201831)]",1e-07
zerosum,State of the Art,5,1,[2.6240391731262207],36,"[(1.6153140282812493, -1.6153140282812493)]","[(0.8661931265809883, -0.8661931265809883)]",1e-07
zerosum,Stackelberg,1,1,[0.03524899482727051],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,Stackelberg,2,1,[0.16739416122436523],9,"[(0.620162932790224, -0.620162932790224)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,Stackelberg,3,1,[0.48551297187805176],16,"[(0.7099587400609255, -0.7099587400609255)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
zerosum,Stackelberg,4,1,[1.1210291385650635],25,"[(0.789706633201831, -0.789706633201831)]","[(0.789706633201831, -0.789706633201831)]",1e-07
zerosum,Stackelberg,5,1,[1.991823673248291],36,"[(0.8661931265809883, -0.8661931265809883)]","[(0.8661931265809883, -0.8661931265809883)]",1e-07
stackelberg,State of the Art,1,1,[0.033635854721069336],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,State of the Art,2,1,[0.16617321968078613],9,"[(1.9999999999999996, 0.0)]","[(1.9999999999999996, 0.0)]",1e-07
stackelberg,State of the Art,3,1,[0.5005331039428711],16,"[(2.8999999999999995, 0.0)]","[(2.8999999999999995, 0.0)]",1e-07
stackelberg,State of the Art,4,1,[1.0765039920806885],25,"[(3.8, 0.0)]","[(3.8, 0.0)]",1e-07
stackelberg,State of the Art,5,1,[1.9237000942230225],36,"[(4.7, 0.0)]","[(4.7, 0.0)]",1e-07
stackelberg,Stackelberg,1,1,[0.07785511016845703],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,Stackelberg,2,1,[0.18429088592529297],9,"[(1.0999999999999999, 0.0)]","[(1.0999999999999999, 0.0)]",1e-07
stackelberg,Stackelberg,3,1,[0.5063509941101074],16,"[(1.2000000000000002, 0.0)]","[(1.2000000000000002, 0.0)]",1e-07
stackelberg,Stackelberg,4,1,[1.07731294631958],25,"[(1.3000000000000003, 0.0)]","[(1.3000000000000003, 0.0)]",1e-07
stackelberg,Stackelberg,5,1,[1.9861900806427002],36,"[(1.4000000000000004, 0.0)]","[(1.4000000000000004, 0.0)]",1e-07
