gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,1,0.07581162452697754,17,-5.9923197138675715,-5.9923197138675715,0.1,0.0
cooperative,True,2,1,1.0816330909729004,135,-8.991470876578926,-8.991470876578926,0.1,0.0
cooperative,True,3,1,22.2287700176239,693,-12.737911431430547,-12.737911431430547,0.1,0.0
cooperative,True,4,1,427.2289900779724,2617,-17.011076446723617,-17.011076446723617,0.1,0.0
cooperative,False,1,1,0.4281148910522461,17,-5.9923197138675715,-5.9923197138675715,0.1,0.0
cooperative,False,2,1,3.7506439685821533,135,-8.991470876578926,-8.991470876578926,0.1,0.0
cooperative,False,3,1,36.31441593170166,693,-12.737911431430547,-12.737911431430547,0.1,0.0
cooperative,False,4,1,508.12113404273987,2617,-17.011076446723617,-17.011076446723617,0.1,0.0
stackelberg,True,1,1,0.2950918674468994,17,-5.991925882981797,-2.7037037037009997,0.1,3.2882221792807975
stackelberg,True,2,1,3.010873794555664,135,-8.982690247370638,-2.7037037037009997,0.1,6.278986543669638
stackelberg,True,3,1,31.589375019073486,693,-12.737911431430547,-2.7037037037009997,0.1,10.034207727729548
stackelberg,True,4,1,488.49815607070923,2617,-17.09761609137482,-2.7037037037009997,0.1,14.393912387673822
stackelberg,False,1,1,0.3738229274749756,17,-5.991925882981797,-5.453268619500275,0.1,0.5386572634815225
stackelberg,False,2,1,3.452440023422241,135,-8.982690247370638,-8.618604271122537,0.1,0.36408597624810035
stackelberg,False,3,1,40.969038248062134,693,-12.737911431430547,-12.745164265256006,0.1,0.007252833825459604
stackelberg,False,4,1,512.4173481464386,2617,-17.06760981288244,-16.72723637906486,0.1,0.34037343381758234
zerosum,True,1,1,0.48122501373291016,17,-6.008599684994539,-6.008599684994539,0.1,0.0
zerosum,True,2,1,4.007721900939941,135,-9.084494994885333,-9.084494994885333,0.1,0.0
zerosum,True,3,1,35.92032194137573,693,-12.659236549239226,-12.659236549239226,0.1,0.0
zerosum,True,4,1,419.6130681037903,2617,-16.689703340864334,-16.689703340864334,0.1,0.0
zerosum,False,1,1,0.32840704917907715,17,-5.9923197138675715,5.9923197138675715,0.1,11.984639427735143
zerosum,False,2,1,3.0189387798309326,135,-8.991470876578926,8.991470876578926,0.1,17.982941753157853
zerosum,False,3,1,33.82849192619324,693,-12.737911431430547,12.737911431430547,0.1,25.475822862861094
zerosum,False,4,1,502.80700492858887,2617,-17.011076446723617,17.011076446723617,0.1,34.022152893447235
