gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0,density,gap
cooperative,Stackelberg,1,1,0.08680129051208496,4,-200.0,-200.0,0.2,0.0
cooperative,Stackelberg,2,1,0.14486122131347656,7,-246.0,-246.0,0.2,0.0
cooperative,Stackelberg,3,1,0.24935126304626465,12,-292.0,-292.0,0.2,0.0
cooperative,State of the Art,1,1,0.006201028823852539,4,-200.0,-200.0,0.2,0.0
cooperative,State of the Art,2,1,0.01509404182434082,7,-246.0,-246.0,0.2,0.0
cooperative,State of the Art,3,1,0.031320810317993164,12,-292.0,-292.0,0.2,0.0
zerosum,Stackelberg,1,1,0.08885312080383301,4,-200.0,200.0,0.2,400.0
zerosum,Stackelberg,2,1,0.13657712936401367,7,-246.0,246.0,0.2,492.0
zerosum,Stackelberg,3,1,0.246260404586792,12,-292.0,292.0,0.2,584.0
zerosum,State of the Art,1,1,0.09168100357055664,4,-90.38176742166596,-90.38176742166596,0.2,0.0
zerosum,State of the Art,2,1,0.20386290550231934,7,-121.48125693352736,-121.48125693352736,0.2,0.0
zerosum,State of the Art,3,1,0.46468234062194824,12,-167.62325070719817,-167.62325070719817,0.2,0.0
stackelberg,Stackelberg,1,1,0.08350515365600586,4,-121.13042176088186,-124.47769242074337,0.2,3.3472706598615076
stackelberg,Stackelberg,2,1,0.1586160659790039,7,-182.44288669502725,-174.48423591374436,0.2,7.958650781282898
stackelberg,Stackelberg,3,1,0.2987189292907715,12,-225.01600085284318,-229.62466273272753,0.2,4.608661879884352
stackelberg,State of the Art,1,1,0.07207775115966797,4,-125.89375648913044,-56.274312157768755,0.2,69.61944433136168
stackelberg,State of the Art,2,1,0.13917803764343262,7,-165.47596672603325,-56.274312157768755,0.2,109.2016545682645
stackelberg,State of the Art,3,1,0.347454309463501,12,-205.04941895987056,-56.274312157768755,0.2,148.77510680210182
